mode,p,N_total,n_local,time_sec
strong,1,65536,65536,71.71
strong,1,131072,131072,143.354
weak,1,65536,65536,71.6669
strong,2,65536,32768,36.0297
strong,2,131072,65536,71.9733
weak,2,131072,65536,71.8882
strong,4,65536,16384,18.2307
strong,4,131072,32768,36.9426
weak,4,262144,65536,73.3797
strong,8,65536,8192,10.4812
strong,8,131072,16384,20.9953
weak,8,524288,65536,83.3365
strong,16,65536,4096,5.89082
strong,16,131072,8192,11.7584
weak,16,1048576,65536,92.9204
strong,32,65536,2048,3.061
strong,32,131072,4096,5.90204
weak,32,2097152,65536,93.4993
